Dividend Records - 2010,,,,,,
Date of Announcement,Security,Rate & Remarks,Date of Ex,Date of Payment,Cum Price,Ex Price
2010-05-07 00:00:00,MBSL-N-0,FINAL DIVIDEND OF RS. 0.75 PER SHARE ,2010-06-17 00:00:00,2010-06-28 00:00:00,30.5,30
2010-07-13 00:00:00,HARI-N-0,FINAL DIVIDEND OF RS.28.00 PER SHARE ,2010-09-27 00:00:00,2010-10-05 00:00:00,941.8,1000
2010-07-13 00:00:00,APLA-N-0,INTERIM DIVIDEND OF RS.2.50 PER SHARE ,2010-07-22 00:00:00,2010-07-30 00:00:00,125.5,124
2010-07-13 00:00:00,KCAB-N-0,SECOND INTERIM DIVIDEND OF RS.0.75 PER SHARE ,2010-07-22 00:00:00,2010-07-30 00:00:00,126,125.75
2010-07-13 00:00:00,COLO-N-0,FIRST & FINAL DIVIDEND OF RS.1.00 PER SHARE ,2010-09-09 00:00:00,2010-09-20 00:00:00,163.3,160
2010-08-13 00:00:00,PHAR-N-0,FINAL DIVIDEND OF RS.4.25 PER SHARE ,2010-09-24 00:00:00,2010-10-04 00:00:00,2160.9,2915
2010-02-16 00:00:00,AAIC-N-0,FINAL DIVIDEND OF RS.1.30 PER SHARE,2010-03-23 00:00:00,2010-04-01 00:00:00,57.75,58.75
2010-02-18 00:00:00,SAMP-N-0,FIRST & FINAL DIVIDEND OF RS.6.25 PER SHARE,2010-03-31 00:00:00,2010-04-07 00:00:00,228.25,222
2010-05-11 00:00:00,HUNT-N-0,FIRST & FINAL DIVIDEND OF RS.0.50 PER SHARE ,2010-06-21 00:00:00,2010-06-25 00:00:00,700,800
2010-05-12 00:00:00,HAYC-N-0,FINAL DIVIDEND OF RS.3.00 PER SHARE ,2010-06-28 00:00:00,2010-07-05 00:00:00,174,170.75
2010-05-18 00:00:00,DIMO-N-0,FINAL DIVIDEND OF RS.4.00 PER SHARE ,2010-05-31 00:00:00,2010-06-09 00:00:00,433.75,445.75
